id,source,target,edge_type,relation,time_start,time_end,scenario
DE01,P1S1,P1,E_rel,InstanceOf,0,1,artwork_relocation
DE02,P1S2,P1,E_rel,InstanceOf,1,2,artwork_relocation
DE03,P1S1,P1S2,E_evol,evolves_to,1,1,artwork_relocation
DE04,P1S1,R3,E_cross,displayed_in,0,1,artwork_relocation
DE05,P1S2,R7,E_cross,displayed_in,1,2,artwork_relocation
DE06,R5S1,R5,E_rel,InstanceOf,0,2,room_closure
DE07,R5S2,R5,E_rel,InstanceOf,2,3,room_closure
DE08,R5S3,R5,E_rel,InstanceOf,3,6,room_closure
DE09,R5S1,R5S2,E_evol,evolves_to,2,2,room_closure
DE10,R5S2,R5S3,E_evol,evolves_to,3,3,room_closure
DE11,R4,R5,E_rel,connected_to,0,2,room_closure
DE12,R5,R6,E_rel,connected_to,0,2,room_closure
DE13,R4,R5,E_rel,connected_to,3,6,room_closure
DE14,R5,R6,E_rel,connected_to,3,6,room_closure
DE15,E1S1,R8,E_cross,hosted_in,4,5,temporary_exhibition
DE16,TP4S1,E1S1,E_rel,part_of,4,5,temporary_exhibition
DE17,TP5S1,E1S1,E_rel,part_of,4,5,temporary_exhibition
DE18,TP6S1,E1S1,E_rel,part_of,4,5,temporary_exhibition
DE19,TP4S1,R8,E_cross,displayed_in,4,5,temporary_exhibition
DE20,TP5S1,R8,E_cross,displayed_in,4,5,temporary_exhibition
DE21,TP6S1,R8,E_cross,displayed_in,4,5,temporary_exhibition
